# ExportSyncDB: 24-11-25 11:14:11 [ LUA ]
# TRACKASSEMBLY_PIECES:(MODEL	TYPE	NAME)
# Categorize(AlexCookie's 2ft track pack): 740453553
"models/craptrax/curver3/curve_r3_damaged.mdl"	"Battleship's abandoned rails"	"Curve R3 Damaged"
"models/craptrax/curver3/curve_r3_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R3 Nodamage"
"models/craptrax/straight1x/straight_1x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 1x Damaged"
"models/craptrax/straight1x/straight_1x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 1x Nodamage"
"models/craptrax/straight2x/straight_2x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 2x Damaged"
"models/craptrax/straight2x/straight_2x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 2x Nodamage"
"models/craptrax/straight3x/straight_3x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 3x Damaged"
"models/craptrax/straight3x/straight_3x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 3x Nodamage"
"models/craptrax/straight4x/straight_4x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 4x Damaged"
"models/craptrax/straight4x/straight_4x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 4x Nodamage"
"models/craptrax/straight8x/straight_8x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 8x Damaged"
"models/craptrax/straight8x/straight_8x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 8x Nodamage"
"models/craptrax/straight_cs_std/straight_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Straight Cs Std Damaged"
"models/craptrax/straight_cs_std/straight_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Straight Cs Std Nodamage"
"models/craptrax/switch_left_std/switch_left_base_std.mdl"	"Battleship's abandoned rails"	"Switch Left Base Std"
"models/craptrax/switch_right_std/switch_right_base_std.mdl"	"Battleship's abandoned rails"	"Switch Right Base Std"
# Categorize(Bobster's two feet rails): 489114511
"models/bobsters_trains/rails/2ft/misc/cross.mdl"	"Bobster's two feet rails"	"Cross"
"models/bobsters_trains/rails/2ft/curves/curve_225_left_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Left 1024"
"models/bobsters_trains/rails/2ft/curves/curve_225_left_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Left 2048"
"models/bobsters_trains/rails/2ft/curves/curve_225_left_512.mdl"	"Bobster's two feet rails"	"Curve 225 Left 512"
"models/bobsters_trains/rails/2ft/curves/curve_225_right_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Right 1024"
"models/bobsters_trains/rails/2ft/curves/curve_225_right_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Right 2048"
"models/bobsters_trains/rails/2ft/curves/curve_225_right_512.mdl"	"Bobster's two feet rails"	"Curve 225 Right 512"
"models/bobsters_trains/rails/2ft/curves/curve_45_left_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Left 1024"
"models/bobsters_trains/rails/2ft/curves/curve_45_left_2048.mdl"	"Bobster's two feet rails"	"Curve 45 Left 2048"
"models/bobsters_trains/rails/2ft/curves/curve_45_left_512.mdl"	"Bobster's two feet rails"	"Curve 45 Left 512"
"models/bobsters_trains/rails/2ft/curves/curve_45_right_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Right 1024"
"models/bobsters_trains/rails/2ft/curves/curve_45_right_2048.mdl"	"Bobster's two feet rails"	"Curve 45 Right 2048"
"models/bobsters_trains/rails/2ft/curves/curve_45_right_512.mdl"	"Bobster's two feet rails"	"Curve 45 Right 512"
"models/bobsters_trains/rails/2ft/curves/curve_90_left_1024.mdl"	"Bobster's two feet rails"	"Curve 90 Left 1024"
"models/bobsters_trains/rails/2ft/curves/curve_90_left_2048.mdl"	"Bobster's two feet rails"	"Curve 90 Left 2048"
"models/bobsters_trains/rails/2ft/curves/curve_90_left_512.mdl"	"Bobster's two feet rails"	"Curve 90 Left 512"
"models/bobsters_trains/rails/2ft/curves/curve_90_right_1024.mdl"	"Bobster's two feet rails"	"Curve 90 Right 1024"
"models/bobsters_trains/rails/2ft/curves/curve_90_right_2048.mdl"	"Bobster's two feet rails"	"Curve 90 Right 2048"
"models/bobsters_trains/rails/2ft/curves/curve_90_right_512.mdl"	"Bobster's two feet rails"	"Curve 90 Right 512"
"models/bobsters_trains/rails/2ft/curves/curve_bank_90_left_1024.mdl"	"Bobster's two feet rails"	"Curve Bank 90 Left 1024"
"models/bobsters_trains/rails/2ft/curves/curve_bank_90_left_2048.mdl"	"Bobster's two feet rails"	"Curve Bank 90 Left 2048"
"models/bobsters_trains/rails/2ft/curves/curve_bank_90_left_512.mdl"	"Bobster's two feet rails"	"Curve Bank 90 Left 512"
"models/bobsters_trains/rails/2ft/curves/curve_bank_90_right_1024.mdl"	"Bobster's two feet rails"	"Curve Bank 90 Right 1024"
"models/bobsters_trains/rails/2ft/curves/curve_bank_90_right_2048.mdl"	"Bobster's two feet rails"	"Curve Bank 90 Right 2048"
"models/bobsters_trains/rails/2ft/curves/curve_bank_90_right_512.mdl"	"Bobster's two feet rails"	"Curve Bank 90 Right 512"
"models/bobsters_trains/rails/2ft/curves/curve_rack_225_left_1024.mdl"	"Bobster's two feet rails"	"Curve Rack 225 Left 1024"
"models/bobsters_trains/rails/2ft/curves/curve_rack_225_left_512.mdl"	"Bobster's two feet rails"	"Curve Rack 225 Left 512"
"models/bobsters_trains/rails/2ft/curves/curve_rack_225_right_1024.mdl"	"Bobster's two feet rails"	"Curve Rack 225 Right 1024"
"models/bobsters_trains/rails/2ft/curves/curve_rack_225_right_512.mdl"	"Bobster's two feet rails"	"Curve Rack 225 Right 512"
"models/bobsters_trains/rails/2ft/curves/curve_rack_45_left_1024.mdl"	"Bobster's two feet rails"	"Curve Rack 45 Left 1024"
"models/bobsters_trains/rails/2ft/curves/curve_rack_45_left_512.mdl"	"Bobster's two feet rails"	"Curve Rack 45 Left 512"
"models/bobsters_trains/rails/2ft/curves/curve_rack_45_right_1024.mdl"	"Bobster's two feet rails"	"Curve Rack 45 Right 1024"
"models/bobsters_trains/rails/2ft/curves/curve_rack_45_right_512.mdl"	"Bobster's two feet rails"	"Curve Rack 45 Right 512"
"models/bobsters_trains/rails/2ft/curves/curve_rack_90_left_1024.mdl"	"Bobster's two feet rails"	"Curve Rack 90 Left 1024"
"models/bobsters_trains/rails/2ft/curves/curve_rack_90_left_512.mdl"	"Bobster's two feet rails"	"Curve Rack 90 Left 512"
"models/bobsters_trains/rails/2ft/curves/curve_rack_90_right_1024.mdl"	"Bobster's two feet rails"	"Curve Rack 90 Right 1024"
"models/bobsters_trains/rails/2ft/curves/curve_rack_90_right_512.mdl"	"Bobster's two feet rails"	"Curve Rack 90 Right 512"
"models/bobsters_trains/rails/2ft/straight_1024.mdl"	"Bobster's two feet rails"	"Straight 1024"
"models/bobsters_trains/rails/2ft/straight_128.mdl"	"Bobster's two feet rails"	"Straight 128"
"models/bobsters_trains/rails/2ft/straight_16.mdl"	"Bobster's two feet rails"	"Straight 16"
"models/bobsters_trains/rails/2ft/straight_2048.mdl"	"Bobster's two feet rails"	"Straight 2048"
"models/bobsters_trains/rails/2ft/straight_256.mdl"	"Bobster's two feet rails"	"Straight 256"
"models/bobsters_trains/rails/2ft/straight_32.mdl"	"Bobster's two feet rails"	"Straight 32"
"models/bobsters_trains/rails/2ft/straight_4096.mdl"	"Bobster's two feet rails"	"Straight 4096"
"models/bobsters_trains/rails/2ft/straight_512.mdl"	"Bobster's two feet rails"	"Straight 512"
"models/bobsters_trains/rails/2ft/straight_64.mdl"	"Bobster's two feet rails"	"Straight 64"
"models/bobsters_trains/rails/2ft/straight_bank_left.mdl"	"Bobster's two feet rails"	"Straight Bank Left"
"models/bobsters_trains/rails/2ft/straight_bank_right.mdl"	"Bobster's two feet rails"	"Straight Bank Right"
"models/bobsters_trains/rails/2ft/straight_rack_1024.mdl"	"Bobster's two feet rails"	"Straight Rack 1024"
"models/bobsters_trains/rails/2ft/straight_rack_128.mdl"	"Bobster's two feet rails"	"Straight Rack 128"
"models/bobsters_trains/rails/2ft/straight_rack_16.mdl"	"Bobster's two feet rails"	"Straight Rack 16"
"models/bobsters_trains/rails/2ft/straight_rack_256.mdl"	"Bobster's two feet rails"	"Straight Rack 256"
"models/bobsters_trains/rails/2ft/straight_rack_32.mdl"	"Bobster's two feet rails"	"Straight Rack 32"
"models/bobsters_trains/rails/2ft/straight_rack_512.mdl"	"Bobster's two feet rails"	"Straight Rack 512"
"models/bobsters_trains/rails/2ft/straight_rack_64.mdl"	"Bobster's two feet rails"	"Straight Rack 64"
"models/bobsters_trains/rails/2ft/switches/switch_left_switched.mdl"	"Bobster's two feet rails"	"Switch Left Switched"
"models/bobsters_trains/rails/2ft/switches/switch_left_unswitched.mdl"	"Bobster's two feet rails"	"Switch Left Unswitched"
"models/bobsters_trains/rails/2ft/switches/switch_right_switched.mdl"	"Bobster's two feet rails"	"Switch Right Switched"
"models/bobsters_trains/rails/2ft/switches/switch_right_unswitched.mdl"	"Bobster's two feet rails"	"Switch Right Unswitched"
# Categorize(CAP Walkway): 180210973
"models/boba_fett/catwalk_build/catwalk_corner.mdl"	"CAP Walkway"	"Corner"
"models/boba_fett/catwalk_build/catwalk_end.mdl"	"CAP Walkway"	"End"
"models/boba_fett/catwalk_build/nanog_end.mdl"	"CAP Walkway"	"End"
"models/boba_fett/catwalk_build/catwalk_long.mdl"	"CAP Walkway"	"Long"
"models/boba_fett/catwalk_build/catwalk_med.mdl"	"CAP Walkway"	"Med"
"models/boba_fett/catwalk_build/nanog_mid.mdl"	"CAP Walkway"	"Mid"
"models/boba_fett/catwalk_build/gate_platform.mdl"	"CAP Walkway"	"Platform"
"models/boba_fett/catwalk_build/landing_platform.mdl"	"CAP Walkway"	"Platform"
"models/boba_fett/catwalk_build/catwalk_short.mdl"	"CAP Walkway"	"Short"
"models/boba_fett/catwalk_build/catwalk_t.mdl"	"CAP Walkway"	"T"
"models/boba_fett/catwalk_build/catwalk_x.mdl"	"CAP Walkway"	"X"
"models/boba_fett/catwalk_build/catwalk_x_big.mdl"	"CAP Walkway"	"X Big"
# Categorize(G Scale Track Pack): 718239260
"models/gscale/c0512/225l.mdl"	"G Scale Track Pack"	"225l"
"models/gscale/c0512/225r.mdl"	"G Scale Track Pack"	"225r"
"models/gscale/c0512/45l.mdl"	"G Scale Track Pack"	"45l"
"models/gscale/c0512/45r.mdl"	"G Scale Track Pack"	"45r"
"models/gscale/c0512/90l.mdl"	"G Scale Track Pack"	"90l"
"models/gscale/c0512/90r.mdl"	"G Scale Track Pack"	"90r"
"models/gscale/j/l225_s.mdl"	"G Scale Track Pack"	"L225 S"
"models/gscale/s/l225_s.mdl"	"G Scale Track Pack"	"L225 S"
"models/gscale/siding/l225_s.mdl"	"G Scale Track Pack"	"L225 S"
"models/gscale/j/l225_t.mdl"	"G Scale Track Pack"	"L225 T"
"models/gscale/s/l225_t.mdl"	"G Scale Track Pack"	"L225 T"
"models/gscale/siding/l225_t.mdl"	"G Scale Track Pack"	"L225 T"
"models/gscale/ramp313/r0032.mdl"	"G Scale Track Pack"	"R0032"
"models/gscale/ramp313/r0064.mdl"	"G Scale Track Pack"	"R0064"
"models/gscale/ramp313/r0128.mdl"	"G Scale Track Pack"	"R0128"
"models/gscale/ramp313/r0256.mdl"	"G Scale Track Pack"	"R0256"
"models/gscale/ramp313/r0512.mdl"	"G Scale Track Pack"	"R0512"
"models/gscale/ramp313/r1024.mdl"	"G Scale Track Pack"	"R1024"
"models/gscale/j/r225_s.mdl"	"G Scale Track Pack"	"R225 S"
"models/gscale/s/r225_s.mdl"	"G Scale Track Pack"	"R225 S"
"models/gscale/siding/r225_s.mdl"	"G Scale Track Pack"	"R225 S"
"models/gscale/j/r225_t.mdl"	"G Scale Track Pack"	"R225 T"
"models/gscale/s/r225_t.mdl"	"G Scale Track Pack"	"R225 T"
"models/gscale/siding/r225_t.mdl"	"G Scale Track Pack"	"R225 T"
"models/gscale/straight/s0008.mdl"	"G Scale Track Pack"	"S0008"
"models/gscale/straight/s0016.mdl"	"G Scale Track Pack"	"S0016"
"models/gscale/ibeam/s0032.mdl"	"G Scale Track Pack"	"S0032"
"models/gscale/straight/s0032.mdl"	"G Scale Track Pack"	"S0032"
"models/gscale/ibeam/s0064.mdl"	"G Scale Track Pack"	"S0064"
"models/gscale/straight/s0064.mdl"	"G Scale Track Pack"	"S0064"
"models/gscale/ibeam/s0128.mdl"	"G Scale Track Pack"	"S0128"
"models/gscale/straight/s0128.mdl"	"G Scale Track Pack"	"S0128"
"models/gscale/ibeam/s0256.mdl"	"G Scale Track Pack"	"S0256"
"models/gscale/straight/s0256.mdl"	"G Scale Track Pack"	"S0256"
"models/gscale/ibeam/s0512.mdl"	"G Scale Track Pack"	"S0512"
"models/gscale/straight/s0512.mdl"	"G Scale Track Pack"	"S0512"
"models/gscale/ibeam/s1024.mdl"	"G Scale Track Pack"	"S1024"
"models/gscale/straight/s1024.mdl"	"G Scale Track Pack"	"S1024"
"models/gscale/c0512/s225l.mdl"	"G Scale Track Pack"	"S225l"
"models/gscale/c0512/s225r.mdl"	"G Scale Track Pack"	"S225r"
"models/gscale/transition/t0032_q_s_1.mdl"	"G Scale Track Pack"	"T0032 Q S 1"
"models/gscale/transition/t0032_q_s_2.mdl"	"G Scale Track Pack"	"T0032 Q S 2"
"models/gscale/transition/t0032_q_t.mdl"	"G Scale Track Pack"	"T0032 Q T"
# Categorize(Joe's track pack): 1658816805
"models/joe/jtp/straight/1024.mdl"	"Joe's track pack"	"1024"
"models/joe/jtp/grades/1024_16.mdl"	"Joe's track pack"	"1024 16"
"models/joe/jtp/grades/1024_32.mdl"	"Joe's track pack"	"1024 32"
"models/joe/jtp/straight/128.mdl"	"Joe's track pack"	"128"
"models/joe/jtp/curve/1536.mdl"	"Joe's track pack"	"1536"
"models/joe/jtp/straight/2048.mdl"	"Joe's track pack"	"2048"
"models/joe/jtp/grades/2048_32.mdl"	"Joe's track pack"	"2048 32"
"models/joe/jtp/grades/2048_64.mdl"	"Joe's track pack"	"2048 64"
"models/joe/jtp/curve/2048_90.mdl"	"Joe's track pack"	"2048 90"
"models/joe/jtp/switch/1536/225_left_switch.mdl"	"Joe's track pack"	"225 Left Switch"
"models/joe/jtp/switch/1536/225_left_unswitched.mdl"	"Joe's track pack"	"225 Left Unswitched"
"models/joe/jtp/switch/1536/225_right_switch.mdl"	"Joe's track pack"	"225 Right Switch"
"models/joe/jtp/switch/1536/225_right_unswitched.mdl"	"Joe's track pack"	"225 Right Unswitched"
"models/joe/jtp/switch/1536/225_yard_left_switched.mdl"	"Joe's track pack"	"225 Yard Left Switched"
"models/joe/jtp/switch/1536/225_yard_left_unswitched.mdl"	"Joe's track pack"	"225 Yard Left Unswitched"
"models/joe/jtp/switch/1536/225_yard_right_switched.mdl"	"Joe's track pack"	"225 Yard Right Switched"
"models/joe/jtp/switch/1536/225_yard_right_unswitched.mdl"	"Joe's track pack"	"225 Yard Right Unswitched"
"models/joe/jtp/curve/2304_90.mdl"	"Joe's track pack"	"2304 90"
"models/joe/jtp/straight/256.mdl"	"Joe's track pack"	"256"
"models/joe/jtp/straight/3072.mdl"	"Joe's track pack"	"3072"
"models/joe/jtp/grades/3072_48.mdl"	"Joe's track pack"	"3072 48"
"models/joe/jtp/grades/curve/3072_48_left.mdl"	"Joe's track pack"	"3072 48 Left"
"models/joe/jtp/curve/3072_90.mdl"	"Joe's track pack"	"3072 90"
"models/joe/jtp/grades/3072_96.mdl"	"Joe's track pack"	"3072 96"
"models/joe/jtp/straight/32.mdl"	"Joe's track pack"	"32"
"models/joe/jtp/straight/4096.mdl"	"Joe's track pack"	"4096"
"models/joe/jtp/grades/4096_128.mdl"	"Joe's track pack"	"4096 128"
"models/joe/jtp/grades/curve/4096_48.mdl"	"Joe's track pack"	"4096 48"
"models/joe/jtp/grades/curve/4096_48_left.mdl"	"Joe's track pack"	"4096 48 Left"
"models/joe/jtp/grades/4096_64.mdl"	"Joe's track pack"	"4096 64"
"models/joe/jtp/grades/curve/4096_64_right.mdl"	"Joe's track pack"	"4096 64 Right"
"models/joe/jtp/curve/4096_90.mdl"	"Joe's track pack"	"4096 90"
"models/joe/jtp/grades/curve/4096_96_left.mdl"	"Joe's track pack"	"4096 96 Left"
"models/joe/jtp/switch/1536/45_left_switch.mdl"	"Joe's track pack"	"45 Left Switch"
"models/joe/jtp/switch/1536/45_left_unswitched.mdl"	"Joe's track pack"	"45 Left Unswitched"
"models/joe/jtp/switch/1536/45_right_switched.mdl"	"Joe's track pack"	"45 Right Switched"
"models/joe/jtp/switch/1536/45_right_unswitched.mdl"	"Joe's track pack"	"45 Right Unswitched"
"models/joe/jtp/straight/512.mdl"	"Joe's track pack"	"512"
"models/joe/jtp/grades/512_16.mdl"	"Joe's track pack"	"512 16"
"models/joe/jtp/grades/512_32.mdl"	"Joe's track pack"	"512 32"
"models/joe/jtp/straight/64.mdl"	"Joe's track pack"	"64"
"models/joe/jtp/turntable/base_1.mdl"	"Joe's track pack"	"Base 1"
"models/joe/jtp/straight/custom_1.mdl"	"Joe's track pack"	"Custom 1"
"models/joe/jtp/misc/damaged_track_1.mdl"	"Joe's track pack"	"Damaged Track 1"
"models/joe/jtp/misc/diamond_90.mdl"	"Joe's track pack"	"Diamond 90"
"models/joe/jtp/misc/end_track_1.mdl"	"Joe's track pack"	"End Track 1"
"models/joe/jtp/throw/harpstand_2_pos.mdl"	"Joe's track pack"	"Harpstand 2 Pos"
"models/joe/jtp/straight/siding_straight.mdl"	"Joe's track pack"	"Siding Straight"
"models/joe/jtp/trestle/trestle_1.mdl"	"Joe's track pack"	"Trestle 1"
"models/joe/jtp/trestle/trestle_2.mdl"	"Joe's track pack"	"Trestle 2"
"models/joe/jtp/trestle/trestle_3.mdl"	"Joe's track pack"	"Trestle 3"
"models/joe/jtp/trestle/trestle_4.mdl"	"Joe's track pack"	"Trestle 4"
"models/joe/jtp/turntable/turntable.mdl"	"Joe's track pack"	"Turntable"
"models/joe/jtp/turntable/turntable2.mdl"	"Joe's track pack"	"Turntable2"
# Categorize(Magnum's Rails): 290130567
"models/magtrains1ga/curve_225.mdl"	"Magnum's Rails"	"Curve 225"
"models/magtrains1ga/curve_45.mdl"	"Magnum's Rails"	"Curve 45"
"models/magtrains1ga/curve_90.mdl"	"Magnum's Rails"	"Curve 90"
"models/magtrains1ga/straight_0032.mdl"	"Magnum's Rails"	"Straight 0032"
"models/magtrains1ga/straight_0064.mdl"	"Magnum's Rails"	"Straight 0064"
"models/magtrains1ga/straight_0128.mdl"	"Magnum's Rails"	"Straight 0128"
"models/magtrains1ga/straight_0256.mdl"	"Magnum's Rails"	"Straight 0256"
"models/magtrains1ga/straight_0512.mdl"	"Magnum's Rails"	"Straight 0512"
"models/magtrains1ga/straight_1024.mdl"	"Magnum's Rails"	"Straight 1024"
"models/magtrains1ga/straight_2048.mdl"	"Magnum's Rails"	"Straight 2048"
"models/magtrains1ga/switch_curve.mdl"	"Magnum's Rails"	"Switch Curve"
"models/magtrains1ga/switch_straight.mdl"	"Magnum's Rails"	"Switch Straight"
"models/magtrains1ga/switchbase_left.mdl"	"Magnum's Rails"	"Switchbase Left"
"models/magtrains1ga/switchbase_right.mdl"	"Magnum's Rails"	"Switchbase Right"
# Categorize(Modular Canals): 1336622735
"models/props_d47_canals/interior_connector1.mdl"	"Modular Canals"	"Interior Connector1"
"models/props_d47_canals/interior_connector2.mdl"	"Modular Canals"	"Interior Connector2"
"models/props_d47_canals/interior_connector3.mdl"	"Modular Canals"	"Interior Connector3"
"models/props_d47_canals/interior_narrow_128.mdl"	"Modular Canals"	"Interior Narrow 128"
"models/props_d47_canals/interior_narrow_256.mdl"	"Modular Canals"	"Interior Narrow 256"
"models/props_d47_canals/interior_narrow_corner.mdl"	"Modular Canals"	"Interior Narrow Corner"
"models/props_d47_canals/interior_narrow_corner2.mdl"	"Modular Canals"	"Interior Narrow Corner2"
"models/props_d47_canals/interior_narrow_stairs.mdl"	"Modular Canals"	"Interior Narrow Stairs"
"models/props_d47_canals/interior_narrow_stairs_mirrored.mdl"	"Modular Canals"	"Interior Narrow Stairs Mirrored"
"models/props_d47_canals/interior_narrow_tjunc.mdl"	"Modular Canals"	"Interior Narrow Tjunc"
"models/props_d47_canals/interior_narrow_xjunc.mdl"	"Modular Canals"	"Interior Narrow Xjunc"
"models/props_d47_canals/interior_wide_128.mdl"	"Modular Canals"	"Interior Wide 128"
"models/props_d47_canals/interior_wide_256.mdl"	"Modular Canals"	"Interior Wide 256"
"models/props_d47_canals/interior_wide_corner.mdl"	"Modular Canals"	"Interior Wide Corner"
"models/props_d47_canals/interior_wide_corner2.mdl"	"Modular Canals"	"Interior Wide Corner2"
"models/props_d47_canals/interior_wide_stairs.mdl"	"Modular Canals"	"Interior Wide Stairs"
"models/props_d47_canals/interior_wide_stairs_mirrored.mdl"	"Modular Canals"	"Interior Wide Stairs Mirrored"
"models/props_d47_canals/interior_wide_tjunc_narrow.mdl"	"Modular Canals"	"Interior Wide Tjunc Narrow"
"models/props_d47_canals/interior_wide_xjunc.mdl"	"Modular Canals"	"Interior Wide Xjunc"
"models/props_d47_canals/interior_wide_xjunc_narrow.mdl"	"Modular Canals"	"Interior Wide Xjunc Narrow"
# Categorize(Modular City Street): 3314861708
"models/propper/dingles_modular_streets/highway_ramp_street1024x768.mdl"	"Modular City Street"	"Highway Ramp Street1024x768"
"models/propper/dingles_modular_streets/highway_ramp_street2048x768_tall.mdl"	"Modular City Street"	"Highway Ramp Street2048x768 Tall"
"models/propper/dingles_modular_streets/highway_ramp_street768_short_tall_connector.mdl"	"Modular City Street"	"Highway Ramp Street768 Short Tall Connector"
"models/propper/dingles_modular_streets/highway_street_1024turn.mdl"	"Modular City Street"	"Highway Street 1024turn"
"models/propper/dingles_modular_streets/highway_street_1024turn_tall.mdl"	"Modular City Street"	"Highway Street 1024turn Tall"
"models/propper/dingles_modular_streets/highway_street_256turn.mdl"	"Modular City Street"	"Highway Street 256turn"
"models/propper/dingles_modular_streets/highway_street_256turn_tall.mdl"	"Modular City Street"	"Highway Street 256turn Tall"
"models/propper/dingles_modular_streets/highway_street_512turn.mdl"	"Modular City Street"	"Highway Street 512turn"
"models/propper/dingles_modular_streets/highway_street_512turn_tall.mdl"	"Modular City Street"	"Highway Street 512turn Tall"
"models/propper/dingles_modular_streets/highway_street_768rampconnector.mdl"	"Modular City Street"	"Highway Street 768rampconnector"
"models/propper/dingles_modular_streets/highway_street_768rampconnector_double.mdl"	"Modular City Street"	"Highway Street 768rampconnector Double"
"models/propper/dingles_modular_streets/highway_street_768rampconnector_double_tall.mdl"	"Modular City Street"	"Highway Street 768rampconnector Double Tall"
"models/propper/dingles_modular_streets/highway_street_768rampconnector_mirrored.mdl"	"Modular City Street"	"Highway Street 768rampconnector Mirrored"
"models/propper/dingles_modular_streets/highway_street_768rampconnector_mirrored_tall.mdl"	"Modular City Street"	"Highway Street 768rampconnector Mirrored Tall"
"models/propper/dingles_modular_streets/highway_street_768rampconnector_tall.mdl"	"Modular City Street"	"Highway Street 768rampconnector Tall"
"models/propper/dingles_modular_streets/highway_street_768turn.mdl"	"Modular City Street"	"Highway Street 768turn"
"models/propper/dingles_modular_streets/highway_street_768turn_tall.mdl"	"Modular City Street"	"Highway Street 768turn Tall"
"models/propper/dingles_modular_streets/highway_street1024x768.mdl"	"Modular City Street"	"Highway Street1024x768"
"models/propper/dingles_modular_streets/highway_street1024x768_overpass.mdl"	"Modular City Street"	"Highway Street1024x768 Overpass"
"models/propper/dingles_modular_streets/highway_street1024x768_tall.mdl"	"Modular City Street"	"Highway Street1024x768 Tall"
"models/propper/dingles_modular_streets/highway_street2048x768.mdl"	"Modular City Street"	"Highway Street2048x768"
"models/propper/dingles_modular_streets/highway_street2048x768_overpass.mdl"	"Modular City Street"	"Highway Street2048x768 Overpass"
"models/propper/dingles_modular_streets/highway_street2048x768_tall.mdl"	"Modular City Street"	"Highway Street2048x768 Tall"
"models/propper/dingles_modular_streets/highway_street256x768.mdl"	"Modular City Street"	"Highway Street256x768"
"models/propper/dingles_modular_streets/highway_street256x768_overpass.mdl"	"Modular City Street"	"Highway Street256x768 Overpass"
"models/propper/dingles_modular_streets/highway_street256x768_tall.mdl"	"Modular City Street"	"Highway Street256x768 Tall"
"models/propper/dingles_modular_streets/highway_street512x768.mdl"	"Modular City Street"	"Highway Street512x768"
"models/propper/dingles_modular_streets/highway_street512x768_overpass.mdl"	"Modular City Street"	"Highway Street512x768 Overpass"
"models/propper/dingles_modular_streets/highway_street512x768_tall.mdl"	"Modular City Street"	"Highway Street512x768 Tall"
"models/propper/dingles_modular_streets/highway_street768x768.mdl"	"Modular City Street"	"Highway Street768x768"
"models/propper/dingles_modular_streets/highway_street768x768_overpass.mdl"	"Modular City Street"	"Highway Street768x768 Overpass"
"models/propper/dingles_modular_streets/highway_street768x768_tall.mdl"	"Modular City Street"	"Highway Street768x768 Tall"
"models/propper/dingles_modular_streets/street_4wayintersection512x512.mdl"	"Modular City Street"	"Street 4wayintersection512x512"
"models/propper/dingles_modular_streets/street_4wayintersection768x768.mdl"	"Modular City Street"	"Street 4wayintersection768x768"
